Frottala,Phrase,Measures,Notes,Duration,Syllables
1,1,2,8,15,7
1,2,4,17,29,6
1,3,3,12,22,7
1,4,4,12,24,7
2,1,6,10,26,8
2,2,6,11,22,8
2,3,6,12,24,8
2,4,6,7,24,7
2,5,6,9,24,8
2,6,5,11,23,8
2,7,6,12,21,8
3,1,4,13,36,8
3,2,4,13,28,8
3,3,4,15,34,8
3,4,6,27,50,8
3,5,4,12,32,8
3,6,4,14,30,8
3,7,5,16,36,9
4,1,6,22,48,17
4,2,3,13,28,8
4,3,5,15,34,12
4,4,9,30,70,21
5,1,4,9,29,8
5,2,4,8,32,8
5,3,4,8,33,8
5,4,7,20,60,14
5,5,4,15,26,9
5,6,4,9,30,18
5,7,4,8,32,16
5,8,6,14,44,14
6,1,6,10,23,8
6,2,6,10,22,8
6,3,6,10,22,8
6,4,4,8,14,8
6,5,6,8,21,8
6,6,12,19,44,34
6,7,4,8,16,7
6,8,8,20,30,8
7,1,6,9,52,8
7,2,6,9,46,8
7,3,6,8,46,8
7,4,9,28,66,14
7,5,6,13,52,16
7,6,6,7,44,16
7,7,12,20,96,16
8,1,3,9,26,8
8,2,3,7,22,8
8,3,3,9,26,8
8,4,4,12,30,8
8,5,3,9,26,8
8,6,10,38,76,18
9,1,3,9,26,8
9,2,3,9,22,8
9,3,3,9,25,8
9,4,3,8,21,8
9,5,3,9,26,8
9,6,2,10,19,8
9,7,9,26,69,8
10,1,4,10,36,9
10,2,5,16,32,8
10,3,4,13,36,8
10,4,8,27,54,13
10,5,8,20,56,32
10,6,4,13,34,9
10,7,6,18,40,8
11,1,4,13,36,8
11,2,4,9,22,8
11,3,8,27,62,15
11,4,11,31,81,17
11,5,7,23,53,14
12,1,1,8,16,7
12,2,2,8,14,7
12,3,4,14,30,11
12,4,5,14,28,11
13,1,4,8,16,7
13,2,4,7,13,7
13,3,12,24,41,18
14,1,7,10,28,7
14,2,9,10,34,8
14,3,6,10,22,8
14,4,12,14,44,7
15,1,4,8,36,7
15,2,4,8,32,7
15,3,4,7,32,7
15,4,5,6,28,7
15,5,4,8,32,7
15,6,9,16,68,14
16,1,4,7,32,6
16,2,4,6,28,6
16,3,4,8,28,6
16,4,4,10,24,6
16,5,11,19,84,18
16,6,4,8,24,6
17,1,7,13,28,7
17,2,4,7,14,7
17,3,8,12,30,11
18,1,2,9,16,8
18,2,2,8,14,8
18,3,4,19,30,8
18,4,5,17,32,8
19,1,3,10,24,9
19,2,3,11,22,8
19,3,3,13,27,8
19,4,3,11,21,8
19,5,3,9,22,9
19,6,2,13,22,8
19,7,6,18,40,8
19,8,9,17,70,9
20,1,4,9,36,8
20,2,4,9,26,8
20,3,4,14,32,8
20,4,4,9,28,8
20,5,4,9,36,8
20,6,4,10,30,8
20,7,4,13,28,8
20,8,6,17,46,8
21,1,6,21,48,16
21,2,3,10,26,8
21,3,6,12,38,13
21,4,7,16,64,8
22,1,3,13,24,9
22,2,3,9,22,8
22,3,3,11,26,8
22,4,3,9,22,8
22,5,3,13,24,9
22,6,4,15,36,9
22,7,4,8,30,9
23,1,3,12,52,10
23,2,3,9,44,9
23,3,3,11,52,9
23,4,3,9,44,9
23,5,3,12,52,10
23,6,13,24,204,9
24,1,3,12,27,9
24,2,3,8,21,8
24,3,3,9,24,8
24,4,3,9,24,8
24,5,3,11,24,9
