Frottala,Section,Phrases,Measures,Notes,Duration,Syllables
1,1,3,13,49,90,27
2,1,1,12,21,48,16
2,2,1,6,12,24,8
2,3,1,6,7,24,7
2,4,1,6,9,24,8
2,5,2,11,23,44,16
3,1,1,8,26,64,16
3,2,5,23,84,182,41
4,1,0,6,22,48,17
4,2,2,8,28,62,20
4,3,1,9,30,70,21
5,1,4,23,60,180,47
5,2,1,4,9,30,18
5,3,1,4,8,32,16
5,4,1,6,14,44,14
6,1,4,28,46,102,40
6,2,1,12,19,44,34
6,3,2,12,28,46,15
7,1,3,27,54,210,38
7,2,2,12,20,96,32
7,3,1,12,20,96,16
8,1,1,6,16,48,16
8,2,2,7,21,56,16
8,3,2,13,47,102,26
9,1,1,6,18,48,16
9,2,2,6,17,46,16
9,3,3,14,45,114,24
10,1,1,9,26,68,17
10,2,2,12,40,90,21
10,3,1,8,20,56,32
10,4,2,10,31,74,17
11,1,1,8,22,58,16
11,2,3,26,81,196,46
12,1,3,12,44,88,36
13,1,2,20,39,70,32
14,1,3,34,44,128,30
15,1,3,17,29,128,28
15,2,2,13,24,100,21
16,1,3,16,31,112,24
16,2,2,15,27,108,24
17,1,2,19,32,72,25
18,1,3,13,53,92,32
19,1,1,6,21,46,17
19,2,2,6,24,48,16
19,3,1,3,9,22,9
19,4,2,8,31,62,16
19,5,1,9,17,70,9
20,1,1,8,18,62,16
20,2,2,8,23,60,16
20,3,4,18,49,140,32
21,1,0,6,21,48,16
21,2,2,9,22,64,21
21,3,1,7,16,64,8
22,1,1,6,22,46,17
22,2,2,6,20,48,16
22,3,3,11,36,90,27
23,1,1,6,21,96,19
23,2,2,6,20,96,18
23,3,2,16,36,256,19
24,1,1,6,20,48,17
24,2,1,3,9,24,8
24,3,1,3,9,24,8
24,4,1,3,11,24,9
24,5,1,14,35,106,23
25,1,1,6,19,46,17
25,2,1,3,9,24,8
25,3,1,7,20,40,8
25,4,1,3,10,22,9
25,5,1,6,18,48,8
26,1,1,8,19,64,16
26,2,2,9,21,72,16
26,3,2,12,31,94,21
27,1,0,6,20,48,17
27,2,2,8,25,64,18
27,3,3,16,42,126,27
28,1,3,16,33,120,28
28,2,3,15,58,120,37
29,1,1,7,26,54,16
29,2,2,6,22,48,16
29,3,2,11,39,86,21
30,1,5,1,134,540,89
31,1,1,8,26,58,17
31,2,2,10,32,74,17
31,3,2,16,62,120,21
32,1,1,8,20,124,18
32,2,1,8,26,124,17
32,3,4,21,50,328,34
33,1,1,8,27,62,18
33,2,1,4,12,30,9
33,3,1,4,10,32,8
33,4,1,4,11,32,9
33,5,1,4,12,32,8
33,6,2,10,29,78,18
34,1,5,22,63,156,44
35,1,1,6,24,48,32
35,2,2,7,29,56,16
35,3,2,12,46,98,28
36,1,3,12,36,188,32
36,2,1,6,19,92,32
36,3,2,6,19,88,16
37,1,3,13,53,216,32
37,2,1,3,8,48,16
37,3,2,7,28,120,16
38,1,3,1,81,228,53
38,2,1,1,26,76,20
39,1,2,6,24,96,34
39,2,2,6,22,96,16
39,3,4,19,62,300,37
40,1,6,33,95,230,59
41,1,1,6,27,96,16
41,2,2,6,23,96,16
41,3,1,8,33,128,16
42,1,2,16,53,252,39
42,2,3,6,23,96,32
42,3,2,6,18,96,16
43,1,6,21,65,328,68
44,1,2,18,43,142,32
44,2,2,10,23,84,22
45,1,1,6,26,96,17
45,2,1,6,16,96,16
45,3,2,9,36,152,17
46,1,3,13,45,180,36
47,1,3,14,38,112,38
48,1,0,17,31,66,26
49,1,2,9,37,58,28
50,1,2,9,31,116,26
51,1,2,10,38,94,34
52,1,3,20,30,74,26
53,1,2,9,33,58,25
54,1,4,18,64,304,52
55,1,4,13,53,100,41
56,1,1,12,26,96,15
56,2,4,22,42,172,30
57,1,1,6,21,48,17
57,2,3,10,38,80,25
57,3,2,9,38,88,22
58,1,1,6,20,92,16
58,2,1,7,23,112,17
58,3,2,9,32,140,20
59,1,0,6,18,96,17
59,2,3,12,37,192,33
59,3,1,11,32,172,8
60,1,0,6,22,48,20
60,2,1,7,22,54,16
60,3,2,13,45,104,25
61,1,1,25,43,100,21
61,2,1,18,33,68,18
61,3,2,25,36,96,33
61,4,2,19,34,72,18
61,5,2,28,46,112,20
62,1,2,24,39,88,36
